timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,additional_monetary_comp,currency,income_context,country,us_state,city,years_of_experience_in_field,years_of_experience_overall,highest_level_of_education,gender,race
04/12/2021 16:11:47,45-54,Legal,Legal Counsel,,"56,894",,USD,,,,Boston,21 - 30 years,21 - 30 years,College degree,Man,Black or African American
04/25/2021 09:28:06,25-34,Finance,Investment Analyst,," 144,543 ","$9,839",USD,,United States,Washington,,8 - 10 years,8 - 10 years,College degree,Man,Multiracial
04/15/2021,25-34,Nonprofit,Grant Writer,,"52,304.00",,AUD,,United States,Washington,,21 - 30 years,21 - 30 years,PhD,Woman,
04/21/2021 03:36:47,55-64,Real Estate,Real Estate Manager,,"51,765",18454,AUD,,United States,,Los Angeles,2 - 4 years,2 - 4 years,Master's degree,Male,
2021-04-26 03:04,35-44,Nursing,Charge Nurse,Senior level," 133,218 ","8,424",USD,,UK,,,11 - 20 years,11 - 20 years,College degree,Woman,
04/19/2021,25-34,Legal,Attorney,Academic salary,"42,288.00",,USD,,United Kingdom,,,11 - 20 years,11 - 20 years,College degree,Man,Multiracial
04/27/2021 08:44:28,under 18,Law,Public Defender,Contract role,"169,711",N/A,USD ,,Australia,,,11 - 20 years,11 - 20 years,Master's degree,Man,
04/29/2021 10:50:38,18-24,Education (Higher Ed),Dean,Commission based,,N/A,USD,before tax,Canada,,,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
4/26/2021 0:56:55,35-44,Architecture,Urban Planner,Academic salary,81826,,USD,,United States,Florida,,8 - 10 years,8 - 10 years,Master's degree,Non-binary,
04/21/2021 01:49:06,25-34,Insurance,Underwriter,Senior level,"87,166",,USD,,United States,Texas,Portland,21 - 30 years,21 - 30 years,College degree,Male,
2021-04-17 02:58,25-34,HR/People Ops,HR Manager,Contract role,"72,396.00"," 4,992 ",USD ,,United States,California,,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
4/28/2021 5:39:53,55-64,Government & Public Administration,Policy Analyst,,,,AUD,gross,,,San Francisco,21 - 30 years,21 - 30 years,Master's degree,Non-binary,Another option not listed here
04/19/2021,25-34,Architecture,Project Architect,Contract role,$81577,1466,AUD,,United States,Illinois,,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
04/13/2021 15:21:42,55-64,Hospitality,Operations Manager,,,,USD,net,,,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,
4/23/2021 11:38:09,55-64,Nonprofit,Outreach Coordinator,,"$54,654",$12009,USD,,,,,8 - 10 years,8 - 10 years,College degree,Man,Multiracial
4/27/2021 14:30:32,45-54,Real Estate,Property Manager,Commission based,"39,066.00",,GBP,,United States,Colorado,,1 year or less,1 year or less,Master's degree,man,Multiracial
4/12/2021 0:51:28,35-44,HR/People Ops,Chief People Officer,Government pay scale,"62,295.00",$3140,AUD,USD equivalent,US,New York,,11 - 20 years,11 - 20 years,PhD,Woman,Black or African American
04/14/2021 01:19:02,35-44,Legal,Paralegal,Part-time equivalent,"89,152",,CAD,,United States,,,2 - 4 years,2 - 4 years,College degree,woman,Asian or Asian American
04/20/2021 11:38:53,35-44,Engineering (Civil),Project Engineer,,"88,778"," 13,023 ",GBP,,United States,Florida,Chicago,2 - 4 years,2 - 4 years,PhD,Male,
2021-04-22 12:55,35-44,Tech/Software,Data Engineer,Senior level,"95,136.00","7,950",AUD,USD equivalent,USA,,Denver,5-7 years,5-7 years,Master's degree,Non-binary,Asian or Asian American
04/29/2021,18-24,Law,Attorney,Commission based,,,USD,,United States,,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,Multiracial
4/19/2021 10:31:03,35-44,Education (Higher Ed),Academic Advisor,Includes bonus,,,USD,,United States,Florida,Portland,2 - 4 years,2 - 4 years,Some college,Man,
04/26/2021 00:05:51,45-54,Nonprofit,Outreach Coordinator,Part-time equivalent,"47,504","12,590",GBP,,United States,Colorado,Boston,5-7 years,5-7 years,College degree,woman,Asian or Asian American
2021-04-18 07:26,25-34,Tech/Software,Cloud Engineer,,"120,668.00",,USD,,France,,,8 - 10 years,8 - 10 years,College degree,Non-binary/third gender,Multiracial
04/16/2021 17:58:38,45-54,Tech/Software,ML Engineer,,"198,183.00","2,627",USD,,Australia,,,8 - 10 years,8 - 10 years,Master's degree,Male,Asian or Asian American
04/17/2021,25-34,HR/People Ops,Chief People Officer,,"126,498.00",1559,CAD,gross,United States,Florida,,11 - 20 years,11 - 20 years,College degree,woman,White
4/29/2021 16:38:06,25-34,Nonprofit,Outreach Coordinator,,47959,,USD,before tax,Australia,,Austin,2 - 4 years,2 - 4 years,Some college,Man,White
04/20/2021 08:21:47,35-44,Education (Higher Ed),Lecturer,,"$56,404",,USD,,US,Oregon,Chicago,8 - 10 years,8 - 10 years,College degree,Male,"Hispanic, Latino, or Spanish origin"
2021-04-16 16:32,25-34,Nursing,Nurse,Remote position,"84,488.00","27,320",INR,,Netherlands,,Los Angeles,8 - 10 years,8 - 10 years,College degree,Man,Asian or Asian American
2021-04-23 01:47,under 18,Nonprofit,Executive Director,Contract role,,0,USD,,Netherlands,,Boston,5-7 years,5-7 years,College degree,Female,Multiracial
04/19/2021 02:27:40,45-54,Consulting,Business Analyst,Includes bonus,"100,723.00",,USD ,,,,San Francisco,21 - 30 years,21 - 30 years,College degree,woman,Black or African American
04/29/2021 23:07:59,35-44,Insurance,Insurance Agent,,"$47,603","$3,529",USD,before tax,Germany,,,5-7 years,5-7 years,Master's degree,woman,Multiracial
4/24/2021 18:40:16,18-24,Real Estate,Real Estate Agent,Entry level position,,,USD,,,,San Francisco,21 - 30 years,21 - 30 years,PhD,Female,
2021-04-17 22:18,35-44,Healthcare,MD,Remote position,"104,317",3650,USD,,United States,Colorado,,5-7 years,5-7 years,College degree,Female,Multiracial
2021-04-21 23:52,55-64,Architecture,Architect,Part-time equivalent,,,USD,,United States,Colorado,Portland,8 - 10 years,8 - 10 years,College degree,Woman,
4/18/2021 1:49:12,35-44,Hospitality,General Manager,Academic salary," 66,869 ",N/A,USD,,France,,,2 - 4 years,2 - 4 years,Some college,Woman,Black or African American
04/22/2021 01:43:14,18-24,Media & Publishing,Journalist,Senior level,$43829,0.00,EUR,,United States,New York,,11 - 20 years,11 - 20 years,High School,Woman,
4/15/2021 22:24:20,25-34,Engineering (Civil),Transportation Engineer,Government pay scale,67328,,USD,before tax,France,,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
4/26/2021 4:31:01,35-44,Healthcare,Healthcare Administrator,Remote position,"154,475.00",,USD,,Australia,,,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
2021-04-24 15:25,18-24,Consulting,Strategy Consultant,Government pay scale,67992,,USD,net,United States,Massachusetts,Austin,5-7 years,5-7 years,College degree,Woman,Black or African American
4/26/2021 7:11:23,25-34,Finance,Senior Financial Analyst,," 132,818 "," 12,944 ",CAD,before tax,Germany,,,11 - 20 years,11 - 20 years,PhD,Woman,Another option not listed here
4/27/2021 12:38:01,35-44,Law,Corporate Attorney,,"83,655",,CAD,,Australia,,New York,5-7 years,5-7 years,Some college,Female,
2021-04-24 21:38,18-24,Law,Litigation Attorney,Commission based,$109196,"13,824",INR,gross,United States,Oregon,,11 - 20 years,11 - 20 years,PhD,Woman,
04/15/2021,35-44,Marketing & Advertising,SEO Specialist,Remote position,"76,500",,USD,,Canada,,,5-7 years,5-7 years,Master's degree,Woman,
4/24/2021 16:03:06,35-44,Food & Beverage,Catering Manager,Academic salary,,,CAD,net,United States,Washington,,5-7 years,5-7 years,PhD,woman,Asian or Asian American
4/15/2021 18:12:54,45-54,Legal,Legal Counsel,Includes bonus,49680,,USD,,United states,,Boston,2 - 4 years,2 - 4 years,College degree,woman,"Hispanic, Latino, or Spanish origin"
04/15/2021,under 18,Marketing & Advertising,Digital Marketing Specialist,,155854,"21,176",AUD,,United states,California,,11 - 20 years,11 - 20 years,College degree,Man,Black or African American
2021-04-16 09:21,25-34,Law,Lawyer,Part-time equivalent,"129,719",0,AUD,,United States,Florida,,2 - 4 years,2 - 4 years,College degree,Male,Black or African American
2021-04-22 10:44,25-34,Nursing,Charge Nurse,Part-time equivalent,,,USD,,Netherlands,,,5-7 years,5-7 years,High School,Male,Another option not listed here
4/16/2021 8:44:12,25-34,Architecture,Urban Planner,," 105,644 ",,EUR,,Australia,,New York,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
4/26/2021 0:46:48,18-24,Education (Higher Ed),Associate Professor,Academic salary,79449,$4849,USD,,U.S.,Oregon,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,
04/12/2021 19:29:34,35-44,Engineering (Civil),Transportation Engineer,Government pay scale,"47,951",,usd,,United States,,,8 - 10 years,8 - 10 years,College degree,Man,
04/14/2021,45-54,Real Estate,Real Estate Agent,,"15,840.00",,USD,,US,,,2 - 4 years,2 - 4 years,PhD,Man,"Hispanic, Latino, or Spanish origin"
2021-04-16 22:01,25-34,HR/People Ops,People Operations Manager,,"108,641","1,233.00",CAD,,United States,Colorado,,11 - 20 years,11 - 20 years,College degree,Non-binary/third gender,Black or African American
2021-04-27 10:18,under 18,Education (Higher Ed),Postdoc,Academic salary,"38,227.00",,USD,,Switzerland,,Austin,1 year or less,1 year or less,PhD,Woman,Black or African American
2021-04-22 21:38,25-34,Healthcare,Doctor,,"89,549","5,788",USD,,United Kingdom,,,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-18 21:58,18-24,Architecture,Senior Architect,Remote position,62499,"$2,406",USD,,United States,Oregon,,2 - 4 years,2 - 4 years,Master's degree,woman,
04/27/2021 21:01:35,18-24,Education (Higher Ed),Postdoc,Government pay scale,,,GBP,,Ireland,,,41 years or more,41 years or more,PhD,Woman,Asian or Asian American
04/29/2021 10:27:04,25-34,Healthcare,Physician,Entry level position," 190,911 ",$18266,USD,,Canada,,San Francisco,8 - 10 years,8 - 10 years,College degree,Man,
04/25/2021,35-44,Education (Higher Ed),Professor,," 61,740 ","4,801.00",GBP,,France,,Los Angeles,11 - 20 years,11 - 20 years,PhD,man,Asian or Asian American
04/23/2021 19:01:27,55-64,Real Estate,Realtor,,,,USD,,Canada,,Seattle,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Male,Asian or Asian American
04/24/2021 22:01:46,35-44,Legal,Paralegal,Government pay scale,114580,$11396,USD,,U.S.,New York,,2 - 4 years,2 - 4 years,College degree,Man,Multiracial
04/13/2021 20:42:25,45-54,Marketing & Advertising,SEO Specialist,Remote position,"20,160.00",93,CAD,,United States,California,,8 - 10 years,8 - 10 years,Master's degree,Man,Multiracial
04/14/2021 19:50:08,25-34,Education (Higher Ed),adjunct lecturer,Remote position,64285,,USD,,Ireland,,Austin,11 - 20 years,11 - 20 years,High School,Female,Black or African American
