order_id,order_date,month,quarter,day_of_week,customer_id,gender,age_group,city,region,channel,payment_method,category,quantity,unit_price,gross_value,discount_pct,discount_amount,net_value,shipping_fee,free_shipping,total_paid,delivery_days,returned,rating,campaign,profit
DH2023006817,2023-01-01,1,Q1,Sunday,KH00664,Nam,55+,Hà Nội,Miền Bắc,App,COD,Sách & Văn phòng,1,51028,51028,0.0,0,51028,25000,False,76028,2,False,5,,-9692
DH2023002181,2023-01-01,1,Q1,Sunday,KH04895,Nam,25-34,Hà Nội,Miền Bắc,Web,COD,Đồ chơi & Trẻ em,2,316494,632988,0.15,94948,538040,0,True,538040,1,False,5,,215216
DH2023007291,2023-01-01,1,Q1,Sunday,KH03040,Nam,35-44,Hà Nội,Miền Bắc,App,COD,Thể thao,1,382449,382449,0.1,38244,344205,20000,False,364205,3,False,3,,110797
DH2023002072,2023-01-01,1,Q1,Sunday,KH01387,Nam,18-24,Vũng Tàu,Miền Nam,App,COD,Thể thao,1,469671,469671,0.0,0,469671,25000,False,494671,2,False,5,,153474
DH2023003808,2023-01-01,1,Q1,Sunday,KH04611,Nam,45-54,Cần Thơ,Miền Nam,App,Ví điện tử,Thời trang,1,409456,409456,0.0,0,409456,20000,False,429456,3,False,4,,151971
DH2023003625,2023-01-01,1,Q1,Sunday,KH02340,Nữ,35-44,Vũng Tàu,Miền Nam,App,Trả góp,Thời trang,1,433283,433283,0.0,0,433283,20000,False,453283,2,False,4,,161978
DH2023007196,2023-01-01,1,Q1,Sunday,KH02030,Nam,18-24,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,3,374647,1123941,0.0,0,1123941,0,True,1123941,3,True,2,,-280985
DH2023005945,2023-01-01,1,Q1,Sunday,KH01636,Nam,25-34,Huế,Miền Trung,App,Ví điện tử,Làm đẹp & Sức khỏe,1,236576,236576,0.0,0,236576,40000,False,276576,2,False,5,,73556
DH2023004256,2023-01-01,1,Q1,Sunday,KH05053,Nam,45-54,Hà Nội,Miền Bắc,App,COD,Đồ chơi & Trẻ em,2,337656,675312,0.0,0,675312,0,True,675312,2,False,4,,270124
DH2023007468,2023-01-01,1,Q1,Sunday,KH01176,Nam,35-44,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,1,104896,104896,0.0,0,104896,15000,False,119896,2,True,1,,-26224
DH2023004812,2023-01-01,1,Q1,Sunday,KH01503,Nam,35-44,Cần Thơ,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,395432,395432,0.0,0,395432,15000,False,410432,2,True,1,,-98858
DH2023002851,2023-01-01,1,Q1,Sunday,KH02757,Nam,25-34,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Nhà cửa & Bếp,1,495966,495966,0.05,24798,471168,15000,False,486168,2,False,5,,149908
DH2023000921,2023-01-01,1,Q1,Sunday,KH04265,Nam,25-34,Huế,Miền Trung,Web,Thẻ ngân hàng,Điện tử,1,3308619,3308619,0.1,330861,2977758,0,True,2977758,3,False,4,,357330
DH2023000571,2023-01-01,1,Q1,Sunday,KH00466,Nữ,25-34,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,1,326415,326415,0.0,0,326415,20000,False,346415,2,False,5,,117094
DH2023004548,2023-01-01,1,Q1,Sunday,KH00041,Nữ,35-44,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Điện tử,1,2739977,2739977,0.0,0,2739977,0,True,2739977,1,False,5,,328797
DH2023005346,2023-01-01,1,Q1,Sunday,KH01721,Nam,35-44,Hà Nội,Miền Bắc,App,Ví điện tử,Thời trang,1,269901,269901,0.0,0,269901,25000,False,294901,2,False,4,,88358
DH2023000386,2023-01-01,1,Q1,Sunday,KH02017,Nam,25-34,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Thời trang,1,230343,230343,0.0,0,230343,25000,False,255343,2,False,5,,71744
DH2023005878,2023-01-01,1,Q1,Sunday,KH03805,Nữ,25-34,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,446012,446012,0.0,0,446012,20000,False,466012,3,False,4,,167325
DH2023005591,2023-01-01,1,Q1,Sunday,KH00872,Nữ,35-44,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Sách & Văn phòng,1,87675,87675,0.1,8767,78908,20000,False,98908,3,False,4,,3672
DH2023006489,2023-01-01,1,Q1,Sunday,KH04231,Nữ,18-24,Huế,Miền Trung,Web,QR Code,Thực phẩm,1,203203,203203,0.0,0,203203,30000,False,233203,5,False,4,,20800
DH2023003020,2023-01-01,1,Q1,Sunday,KH01264,Nữ,45-54,Hồ Chí Minh,Miền Nam,App,COD,Thời trang,1,446205,446205,0.0,0,446205,25000,False,471205,2,False,5,,162406
DH2023003262,2023-01-02,1,Q1,Monday,KH04396,Nữ,35-44,Đà Nẵng,Miền Trung,App,COD,Làm đẹp & Sức khỏe,1,194333,194333,0.0,0,194333,25000,False,219333,3,False,5,,68279
DH2023004115,2023-01-02,1,Q1,Monday,KH02192,Nam,45-54,Hải Phòng,Miền Bắc,Zalo Shop,Thẻ ngân hàng,Sách & Văn phòng,1,177255,177255,0.05,8862,168393,20000,False,188393,2,False,4,,30517
DH2023004153,2023-01-02,1,Q1,Monday,KH03364,Nữ,18-24,Nha Trang,Miền Trung,Web,COD,Thời trang,1,477792,477792,0.1,47779,430013,35000,False,465013,2,False,3,,145605
DH2023003756,2023-01-02,1,Q1,Monday,KH00441,Nữ,25-34,Hà Nội,Miền Bắc,App,QR Code,Thực phẩm,1,145586,145586,0.0,0,145586,25000,False,170586,2,False,5,,11396
DH2023002355,2023-01-02,1,Q1,Monday,KH00141,Nam,35-44,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Làm đẹp & Sức khỏe,1,246625,246625,0.0,0,246625,20000,False,266625,2,False,5,,98380
DH2023006954,2023-01-02,1,Q1,Monday,KH00157,Nữ,25-34,Hà Nội,Miền Bắc,App,Ví điện tử,Thời trang,1,157557,157557,0.1,15755,141802,30000,False,171802,1,False,4,,29556
DH2023007048,2023-01-02,1,Q1,Monday,KH00217,Nữ,18-24,Hà Nội,Miền Bắc,Facebook,Thẻ ngân hàng,Thời trang,1,336362,336362,0.05,16818,319544,20000,False,339544,1,False,4,,114208
DH2023003294,2023-01-02,1,Q1,Monday,KH04300,Nam,35-44,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,388118,388118,0.0,0,388118,15000,False,403118,1,False,4,,148009
